Data,ipca,ipca-mas,ipca-ma,ipca-ex,ipca-ex2,ipca-dp
01/1995,"1,7",-,-,-,"2,31","1,66"
02/1995,"1,02",-,-,-,"1,52","1,36"
03/1995,"1,55",-,-,-,"1,75","1,51"
04/1995,"2,43",-,-,-,"2,8","2,45"
05/1995,"2,67",-,-,-,"3,52","2,44"
06/1995,"2,26",-,-,-,"3,12","2,7"
07/1995,"2,36",-,-,-,"2,79","2,62"
08/1995,"0,99",-,-,-,"1,23","1,1"
09/1995,"0,99",-,-,-,"1,33","1,03"
10/1995,"1,41",-,-,-,"1,43","1,31"
11/1995,"1,47",-,-,-,"1,54","1,13"
12/1995,"1,56",-,-,-,"1,76","1,17"
01/1996,"1,34","1,51",-,"1,4","1,35","1,21"
02/1996,"1,03","1,04",-,"0,75","1,37","0,87"
03/1996,"0,35","1,07",-,"0,51","0,49","0,45"
04/1996,"1,26","1,25",-,"0,9","0,8","1,16"
05/1996,"1,22","1,28",-,"1,47","1,33","0,96"
06/1996,"1,19","1,25",-,"0,92","1,31","1,18"
07/1996,"1,11","1,16",-,"0,93","1,25","1,11"
08/1996,"0,44","0,91",-,"0,63","0,61","0,54"
09/1996,"0,15","0,59",-,"0,43","0,28","0,13"
10/1996,"0,3","0,6",-,"0,3","0,23","0,15"
11/1996,"0,32","0,6",-,"0,5","0,45","0,31"
12/1996,"0,47","0,62",-,"0,59","0,5","0,47"
01/1997,"1,18","0,81",-,"0,85","0,76","1,01"
02/1997,"0,5","0,57",-,"0,44","0,45","0,35"
03/1997,"0,51","0,56",-,"0,2","0,31","0,31"
04/1997,"0,88","0,64",-,"0,36","1,03","0,45"
05/1997,"0,41","0,49",-,"0,6","0,78","0,26"
06/1997,"0,54","0,46",-,"0,19","0,72","0,39"
07/1997,"0,22","0,46",-,"0,26","0,44","0,33"
08/1997,"-0,02","0,26",-,"0,02","0,08","-0,01"
09/1997,"0,06","0,19",-,"0,09","0,1","0,01"
10/1997,"0,23","0,33",-,"0,25","0,2","0,14"
11/1997,"0,17","0,16",-,"-0,08","-0,04","0,06"
12/1997,"0,43","0,33",-,"0,13","0,18","0,24"
01/1998,"0,71","0,4",-,"0,39","0,49","0,49"
02/1998,"0,46","0,4",-,"0,34","0,44","0,4"
03/1998,"0,34","0,41",-,"0,2","0,13","0,34"
04/1998,"0,24","0,18",-,"0,01","0,04","0,11"
05/1998,"0,5","0,23",-,"0,17","0,22","0,27"
06/1998,"0,02","0,14",-,0,0,"0,03"
07/1998,"-0,12","0,19",-,"0,1","0,13","0,07"
08/1998,"-0,51","-0,07",-,"-0,16","-0,17","-0,35"
09/1998,"-0,22","0,05",-,"-0,15","-0,12","-0,17"
10/1998,"0,02","0,06",-,"0,06","0,04","-0,02"
11/1998,"-0,12",0,-,"0,02","0,04","-0,08"
12/1998,"0,33","0,05",-,0,"0,16","0,06"
01/1999,"0,7","0,31",-,"0,49","0,57","0,52"
02/1999,"1,05","0,63",-,"0,25","0,66","1,16"
03/1999,"1,1","0,45",-,"0,6","0,83","0,98"
04/1999,"0,56","0,44",-,"0,61","0,61","0,68"
05/1999,"0,3","0,24",-,"0,61","0,51","0,49"
06/1999,"0,19","0,25",-,"0,25","0,4","0,08"
07/1999,"1,09","0,31",-,"0,21","0,63","0,51"
08/1999,"0,56","0,43",-,"0,26","0,43","0,46"
09/1999,"0,31","0,4",-,"0,18","0,23","0,32"
10/1999,"1,19","0,68",-,"1,05","0,9","1,38"
11/1999,"0,95","0,46",-,"0,35","0,42","0,63"
12/1999,"0,6","0,58",-,"0,28","0,46","0,51"
01/2000,"0,62","0,48",-,"0,56","0,63","0,47"
02/2000,"0,13","0,44",-,"0,45","0,32","0,32"
03/2000,"0,22","0,37",-,"0,05","0,16","0,21"
04/2000,"0,42","0,45",-,"0,87","0,62","0,6"
05/2000,"0,01","0,35",-,"0,2","0,19","0,18"
06/2000,"0,23","0,42",-,"0,3","0,31","0,28"
07/2000,"1,61","0,58",-,"0,26","0,82","0,84"
08/2000,"1,31","0,58",-,"0,34","0,43","0,72"
09/2000,"0,23","0,4",-,"0,23","0,26","0,24"
